0,21,2,
0,1,10000,1000,0,0,
0,2,10000,1000,0,0,
0,3,10000,1000,0,0,
0,4,10000,1000,0,0,
0,5,10000,1000,0,0,
1,7,10000,2,0,1,
1,10,10000,1,0,1,
2,6,10000,2,0,1,
2,7,10000,1,0,1,
2,9,10000,2,0,1,
3,8,10000,1,0,1,
3,10,10000,1,0,1,
4,7,10000,2,0,1,
4,9,10000,1,0,1,
5,6,10000,1,0,1,
5,8,10000,2,0,1,
5,9,10000,2,0,1,
6,11,1,1,1,2,
6,12,1,1,1,2,
6,13,1,1,1,2,
6,14,1,1,1,2,
7,11,1,1,1,2,
7,12,1,1,1,2,
7,13,1,1,1,2,
7,15,1,1,1,2,
8,11,1,1,1,2,
8,12,1,1,1,2,
8,13,1,1,1,2,
8,14,1,1,1,2,
8,15,1,1,1,2,
9,11,1,1,1,2,
9,12,1,1,1,2,
9,13,1,1,1,2,
9,14,1,1,1,2,
9,15,1,1,1,2,
10,11,1,1,1,2,
10,12,1,1,1,2,
10,15,1,1,1,2,
11,16,10000,1,0,3,
11,17,10000,1,0,3,
11,18,10000,1,0,3,
11,19,10000,1,0,3,
11,20,10000,1,0,3,
12,16,10000,1,0,3,
12,17,10000,1,0,3,
12,18,10000,1,0,3,
12,19,10000,1,0,3,
12,20,10000,1,0,3,
13,17,10000,1,0,3,
13,18,10000,1,0,3,
13,19,10000,1,0,3,
14,16,10000,1,0,3,
14,17,10000,1,0,3,
14,18,10000,1,0,3,
14,19,10000,1,0,3,
15,17,10000,1,0,3,
15,18,10000,1,0,3,
15,19,10000,1,0,3,
15,20,10000,1,0,3,
16,21,10000,1000,0,4,
17,21,10000,1000,0,4,
18,21,10000,1000,0,4,
19,21,10000,1000,0,4,
20,21,10000,1000,0,4,
21,0,10000,10000,0,5,
